Filtering the log data using "subsystem CONTAINS "dev.contextify""
Timestamp               Ty Process[PID:TID]
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify:ProjectSwitcher] [SWITCHER-SORT-DEBUG] Projects with display_order: 1, without: 0
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify:ProjectSwitcher] [SWITCHER-SORTED] Tab order (first 10): /Users/rob/Library/Containers/PeterPym.Contextify.Debug/Data [order=0]
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify:ProjectSwitcher] ProjectSwitcher: observing events
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] 🛑 [SWITCH-STOP] Stopping monitoring (elapsed: <private>s)
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] [TIMELINE-STOP] Stopping timeline monitoring
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] 🛑 [SWITCH-STOP-DONE] Stop complete in <private>s
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] 🧹 [SWITCH-CLEAR] Clearing entries (elapsed: <private>s)
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] [TIMELINE-APPEND] setEntries 0 (primer)
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] [VIEWPORT-UPDATE] visibleEntries.count → 0
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] 🧹 [SWITCH-CLEAR-DONE] Clear complete in <private>s
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] 🚀 [SWITCH-MONITOR] Starting monitoring (elapsed: <private>s)
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] [SUMM-MONITOR] Calling startMonitoring(projectId: 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8)
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] [TIMELINE-START] Starting timeline monitoring for project: 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] 📊 [MONITOR-ENTRY] startMonitoring called for 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] [UIOPT-MONITOR-START] ConversationMonitor.startMonitoring() called for project: 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] ⭐️ [MONITOR-START] Timeline integration starting for project 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] 🚀 [SWITCH-MONITOR-DONE] Monitor start triggered in <private>s
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] ✅ Project context change complete - monitoring restarted for: 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify:UI] 📍 Got startup context: <private> (id: 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8)
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify:TimelineIntegration] Timeline integration starting
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] [TIMELINE-START] Starting timeline monitoring for project: 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] 📊 [MONITOR-ENTRY] startMonitoring called for 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] [UIOPT-MONITOR-START] ConversationMonitor.startMonitoring() called for project: 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] ⭐️ [MONITOR-START] Timeline integration starting for project 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] handleProjectRootChange: coordinator context became available after wait (id: 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8)
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] 🔄 [SWITCH-START] Project switch to <private> (id: 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8)
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] [SUMM-MONITOR] ConversationMonitor received context update for: <private> (id: <private>)
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify:ProjectSwitcher] [ORPHAN-TAB-HIDE] action=show project=2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify:ProjectSwitcher] ProjectSwitcher: projects=1 (hidden=0)
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify:ProjectSwitcher] [SWITCHER-REFRESH] Starting refresh of project list
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify:ProjectSwitcher] [SWITCHER-SORT-START] Querying projects sorted by activity
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify:ProjectSwitcher] [SWITCHER-SORT-QUERY] Got 1 projects from DB
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify:ProjectSwitcher] [SWITCHER-SORT-DEBUG] Projects with display_order: 1, without: 0
2025-11-14 22:49:46.678 I  Contextify[90620:138327f] [dev.contextify:ProjectSwitcher] [SWITCHER-SORTED] Tab order (first 10): /Users/rob/Library/Containers/PeterPym.Contextify.Debug/Data [order=0]
2025-11-14 22:49:46.681 I  Contextify[90620:138327f] [dev.contextify:UIRender] [UIOPT-FIRST-PAINT] content-empty appear (loading)
2025-11-14 22:49:46.682 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] 🔧 [MONITOR-TASK] Background task started (elapsed: <private>s)
2025-11-14 22:49:46.682 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] ✅ [SWITCH-END] Project switch completed in <private>s
2025-11-14 22:49:46.682 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] 🔧 [MONITOR-TASK] Background task started (elapsed: <private>s)
2025-11-14 22:49:46.682 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] 🛑 [SWITCH-STOP] Stopping monitoring (elapsed: <private>s)
2025-11-14 22:49:46.682 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] [TIMELINE-STOP] Stopping timeline monitoring
2025-11-14 22:49:46.682 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] 🛑 [SWITCH-STOP-DONE] Stop complete in <private>s
2025-11-14 22:49:46.682 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] 🧹 [SWITCH-CLEAR] Clearing entries (elapsed: <private>s)
2025-11-14 22:49:46.682 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] [TIMELINE-APPEND] setEntries 0 (primer)
2025-11-14 22:49:46.682 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] [VIEWPORT-UPDATE] visibleEntries.count → 0
2025-11-14 22:49:46.682 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] 🧹 [SWITCH-CLEAR-DONE] Clear complete in <private>s
2025-11-14 22:49:46.682 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] 🚀 [SWITCH-MONITOR] Starting monitoring (elapsed: <private>s)
2025-11-14 22:49:46.682 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] [SUMM-MONITOR] Calling startMonitoring(projectId: 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8)
2025-11-14 22:49:46.682 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] [TIMELINE-START] Starting timeline monitoring for project: 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8
2025-11-14 22:49:46.682 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] 📊 [MONITOR-ENTRY] startMonitoring called for 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8
2025-11-14 22:49:46.682 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] [UIOPT-MONITOR-START] ConversationMonitor.startMonitoring() called for project: 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8
2025-11-14 22:49:46.682 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] ⭐️ [MONITOR-START] Timeline integration starting for project 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8
2025-11-14 22:49:46.682 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] 🚀 [SWITCH-MONITOR-DONE] Monitor start triggered in <private>s
2025-11-14 22:49:46.682 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] ✅ Project context change complete - monitoring restarted for: 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8
2025-11-14 22:49:46.682 I  Contextify[90620:138327f] [dev.contextify:ProjectSwitcher] ProjectSwitcher: projects=1 (hidden=0)
2025-11-14 22:49:46.684 I  Contextify[90620:138327f] [dev.contextify:UIRender] [UIOPT-FIRST-PAINT] content-empty appear (loading)
2025-11-14 22:49:46.684 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] 🔧 [MONITOR-TASK] Background task started (elapsed: <private>s)
2025-11-14 22:49:46.684 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] ✅ [SWITCH-END] Project switch completed in <private>s
2025-11-14 22:49:46.684 I  Contextify[90620:138327f] [dev.contextify:ProjectSwitcher] ✅ Startup complete: activeProjectId=<private>, projects=1
2025-11-14 22:49:46.684 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] 📁 Project ID set: 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8
2025-11-14 22:49:46.684 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] 📁 Project ID set: 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8
2025-11-14 22:49:46.685 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] ✅ Project 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8 verified in database
2025-11-14 22:49:46.685 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] ✅ Project 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8 verified in database
2025-11-14 22:49:46.685 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] 📁 Project ID set: 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8
2025-11-14 22:49:46.689 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] ✅ Project 2A3837A6-02E0-47E4-B12C-9E8C3AB1ADD8 verified in database
2025-11-14 22:49:46.690 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] [GENERATOR-INIT] About to create generator...
2025-11-14 22:49:46.690 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] [GENERATOR-INIT] About to create generator...
2025-11-14 22:49:46.690 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] [GENERATOR-INIT] Creating TimelineCacheMissGenerator...
2025-11-14 22:49:46.690 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] ✅ [GENERATOR-INIT] Cache miss generator initialized for new project
2025-11-14 22:49:46.690 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] [GENERATOR-INIT] Creating TimelineCacheMissGenerator...
2025-11-14 22:49:46.690 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] ✅ [GENERATOR-INIT] Cache miss generator initialized for new project
2025-11-14 22:49:46.690 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] [GENERATOR-INIT] About to create generator...
2025-11-14 22:49:46.691 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] [GENERATOR-INIT] Creating TimelineCacheMissGenerator...
2025-11-14 22:49:46.691 I  Contextify[90620:138327f] [dev.contextify.timeline:ConversationMonitor] ✅ [GENERATOR-INIT] Cache miss generator initialized for new project
2025-11-14 22:49:46.693 I  Contextify[90620:138327f] [dev.contextify:StatusBar] StatusBar starting...
